depth (m),qc (MPa),fs (MPa),u (MPa),qt (MPa)
1.55,4.336610003,0.183572879,-0.041678824,4.328274238
1.6,3.475148545,0.173901068,-0.039975818,3.467153381
1.65,3.768558717,0.154078645,-0.019925856,3.764573546
1.7,4.216526336,0.150152464,-0.03001289,4.210523758
1.75,3.395092767,0.14747117,-0.042775091,3.386537749
1.8,2.88038008,0.117019331,-0.041920141,2.871996052
1.85,2.784332298,0.102751017,-0.036576702,2.777016958
1.9,2.827041481,0.108017844,-0.014458312,2.824149819
1.95,3.565833739,0.124967452,-0.0063156,3.564570619
2,5.470031281,0.156185376,-0.00401275,5.469228731
2.05,5.424736565,0.170836732,-0.021994284,5.420337708
2.1,4.731334784,0.182902555,-0.02284234,4.726766316
2.15,3.923211925,0.159536993,-0.010935089,3.921024907
2.2,3.368471348,0.14162978,-0.009480295,3.366575289
2.25,2.784332298,0.12065823,-0.009597506,2.782412797
2.3,2.253627607,0.106006874,-0.006681022,2.252291403
2.35,2.603057672,0.109837294,0.013610256,2.605779723
2.4,2.800420062,0.12075399,-0.003281906,2.799763681
2.45,2.912364087,0.12458441,0.002309745,2.912826036
2.5,3.200411671,0.129468196,0.017133479,3.203838367
2.55,3.163065076,0.129851238,0.007901395,3.164645355
2.6,3.000367986,0.118168457,0.010204245,3.002408835
2.65,3.008411868,0.117210852,0.013727467,3.011157361
2.7,2.600376378,0.109550012,0.005102122,2.601396802
2.75,2.477611417,0.103517101,0.005102122,2.478631841
2.8,2.224324894,0.106198395,-0.006074284,2.223110037
2.85,2.192340887,0.107922084,-0.013610256,2.189618836
2.9,2.707053574,0.10332558,-0.004254067,2.706202761
2.95,2.520320599,0.110028815,-0.016892162,2.516942167
3,2.576340492,0.115295642,-0.011907251,2.573959042
3.05,5.021967902,0.183285597,0.0015789,5.022283682
3.1,11.6868987,0.268320921,0.004129961,11.68772469
3.15,12.38030048,0.343875956,0.001820217,12.38066452
3.2,10.96141715,0.364943266,0.00401275,10.9622197
3.25,9.003881013,0.351728316,-0.007653184,9.002350376
3.3,9.934673073,0.325298418,0.007777289,9.936228531
3.35,11.95895428,0.348376699,-0.010204245,11.95691343
3.4,12.84971845,0.415409049,-0.010810984,12.84755625
3.45,12.65235606,0.473727194,-0.014458312,12.6494644
3.5,9.726585506,0.481388034,-0.015554579,9.72347459
3.55,7.302312688,0.393958697,-0.006074284,7.301097831
3.6,7.251655384,0.301071012,0.078986371,7.267452658
3.65,7.136934304,0.252041636,0.05285523,7.14750535
3.7,8.510427156,0.256925422,0.045077941,8.519442744
3.75,7.454380362,0.305667516,0.006074284,7.455595219
3.8,5.670074966,0.269278526,-0.003888645,5.669297237
3.85,5.568760356,0.238730927,0.012155462,5.571191448
3.9,5.478075163,0.228293032,0.017133479,5.481501859
3.95,6.030134446,0.204735949,0.027951357,6.035724717
