travelTimeArray_ID,travelTimeMeta_ID,depth,traveltime
1,1,1.75,11.9
2,1,3.75,21.69
3,1,5.75,29.09
4,1,7.75,36.76
5,1,9.55,43.36
6,2,1.75,10.45
7,2,3.75,19.04
8,2,5.75,25.91
9,2,7.75,32.66
10,2,9.75,39.26
11,2,11.75,46.43
12,2,13.25,52.25
13,3,1.75,9.47
14,3,3.75,16.92
15,3,5.75,25.64
16,3,7.75,33.99
17,3,9.75,42.83
18,3,11.75,51.23
19,3,13.75,58.75
20,3,15.75,66.57
21,3,17.75,73.8
22,3,19.55,82.07
23,4,1.75,11.42
24,4,3.75,19.04
25,4,5.75,26.56
26,4,6.4,28.69
27,5,1.75,10.57
28,5,3.75,21.69
29,5,5.75,29.89
30,5,7.75,36.89
31,5,9.75,44.96
32,5,11.75,52.15
33,5,13.75,59.48
34,5,15.75,69.1
35,6,1.75,12.42
36,6,3.75,21.29
37,6,5.75,31.86
38,6,7.75,38.73
39,7,1.75,12.94
40,7,3.75,22.87
41,7,5.75,31.59
42,7,7.75,40.46
43,7,9.75,47.46
44,7,11.75,55.98
45,7,12.65,59.7
46,8,1.75,10.7
47,8,3.75,19.84
48,8,5.75,28.41
49,8,7.75,36.49
50,8,9.75,41.51
51,8,11.75,47.48
52,8,12.35,49.51
53,9,1.75,10.32
54,9,3.75,17.59
55,9,5.75,27.36
56,9,7.75,34.64
57,9,9.75,41.91
58,9,11.75,50.65
59,9,12.2,52.63
60,10,1.75,10.45
61,10,3.75,18.37
62,10,5.75,27.49
63,10,7.75,34.36
64,10,9.55,40.86
65,11,1.75,11.95
66,11,3.75,24.22
67,11,5.75,36.17
68,11,7.75,44.45
69,11,9.75,52.34
70,11,11.75,58.82
71,11,13.75,66.32
72,11,15.75,73.59
73,11,17.75,80.85
74,11,19.75,88.43
75,12,1.75,12.19
76,12,3.75,20.08
77,12,5.75,35
78,12,7.75,43.51
79,12,9.1,48.04
80,13,1.75,12.5
81,13,3.75,25.7
82,13,5.75,36.95
83,13,7.75,44.45
84,13,9.75,50.78
85,13,11.75,57.26
86,13,13.75,65.62
87,13,15.75,73.28
88,13,17.75,79.6
89,13,20.25,89.53
90,14,1.75,13.51
91,14,3.75,27.34
92,14,5.75,37.73
93,14,7.75,45
94,14,9.75,52.11
95,14,11.75,61.95
96,14,13.75,68.36
97,14,15.75,75.39
98,14,17.75,83.04
99,14,20.15,90.62
100,15,1.75,16.47
101,15,3.75,35.31
102,15,5.75,57.75
103,15,7.75,79.49
104,15,9.75,101.26
105,15,11.75,120
106,15,13.75,130.42
107,15,15.75,139.87
108,15,17.75,150.31
109,15,19.75,160.26
110,15,21.75,170.51
111,15,22.95,175.23
112,16,1.75,9.85
113,16,3.75,21.39
114,16,5.75,35.61
115,16,7.75,48.68
116,16,9.75,62.23
117,16,11.75,80.72
118,16,13.75,88.16
119,16,15.75,96.46
120,16,17.75,105.43
121,16,19.75,112.95
122,16,20.8,118.33
123,17,1.75,17.82
124,17,3.75,35.64
125,17,5.75,53.1
126,17,7.75,72.22
127,17,9.75,87.14
128,17,11.75,102.73
129,17,13.75,115
130,17,15.75,128.4
131,17,17.75,136.25
132,17,19.75,142.84
133,17,21.75,149.87
134,17,23.75,156.76
135,17,25.85,165.66
136,17,27.75,172.46
137,18,1.75,10.52
138,18,3.75,28.51
139,18,5.75,43.58
140,18,7.75,63.12
