"velocityProfileMeta_ID","site_ID","citation_ID","name","longitude","latitude","method","date","quality","VelocityDataType","vs30_value","vs30_unit","depthTop_unit","value_unit","uncertainty_unit"
"1","1","138","VARS","-120.451","35.9208","Downhole",,,"Vs","738","m/s","m","m/s",
"2","1","138","VARP","-120.451","35.9208","Downhole",,,"Vp","0",,"m","m/s",
"3","2","129","PNFS","-116.4594","33.6117","Downhole",,,"Vs","724.9","m/s","m","m/s",
"4","3","129","KNWS","-116.7133","33.7111","Downhole",,,"Vs","845.4","m/s","m","m/s",
"5","4","120","MCGS","-118.8127","37.5482","Downhole",,,"Vs","359.2","m/s","m","m/s",
"6","4","120","MCGP","-118.8127","37.5482","Downhole",,,"Vp","0",,"m","m/s",
"7","5","121","CLDS","-121.5516","37.1175","Downhole",,,"Vs","295","m/s","m","m/s",
"8","5","121","CLDP","-121.5516","37.1175","Downhole",,,"Vp","0",,"m","m/s",
"9","6","143","I10S","-118.378","34.0364","Downhole",,,"Vs","269","m/s","m","m/s",
"10","6","143","I10P","-118.378","34.0364","Downhole",,,"Vp","0",,"m","m/s",
"11","7","142","101_280S","-121.8513","37.341","Downhole",,,"Vs","216.5","m/s","m","m/s",
"12","7","142","101_280P","-121.8513","37.341","Downhole",,,"Vp","0",,"m","m/s",
"13","8","142","MWDS","-121.8078","36.6993","Downhole",,,"Vs","297.7","m/s","m","m/s",
"14","8","142","MWDP","-121.8078","36.6993","Downhole",,,"Vp","0",,"m","m/s",
"15","9","142","WILS","-121.9033","37.3161","Downhole",,,"Vs","251.6","m/s","m","m/s",
"16","9","142","WILP","-121.9033","37.3161","Downhole",,,"Vp","0",,"m","m/s",
"17","10","142","COYS","-121.8696","37.3369","Downhole",,,"Vs","233","m/s","m","m/s",
"18","10","142","COYP","-121.8696","37.3369","Downhole",,,"Vp","0",,"m","m/s",
"19","11","108","POTS","-118.6641","34.3952","Downhole",,,"Vs","204.9","m/s","m","m/s",
"20","11","108","POTP","-118.6641","34.3952","Downhole",,,"Vp","204.9","m/s","m","m/s",
"21","12","108","TARS","-118.5353","34.1605","Downhole",,,"Vs","257.2","m/s","m","m/s",
"22","12","108","TARP","-118.5353","34.1605","Downhole",,,"Vp","0",,"m","m/s",
"23","13","108","ESCS","-118.4808","34.3108","Downhole",,,"Vs","370.5","m/s","m","m/s",
"24","13","108","ESCP","-118.4808","34.3108","Downhole",,,"Vp","0",,"m","m/s",
"25","14","108","RD7S","-118.715","34.2314","Downhole",,,"Vs","715.1","m/s","m","m/s",
