depth (m),velocity (m/s)
2.85,171.2969025351587
2.9,172.33368179867952
2.95,172.91705927962238
3.0,172.72088968840066
3.05,206.67669604478647
3.1,209.64233787871495
3.15,216.02691809346265
3.2,229.45996894589072
3.25,245.77133151823594
3.3,234.6456172266938
3.35,220.35118733273322
3.4,223.22631571110009
3.45,236.08405479229512
3.5,232.75236104296664
3.55,255.9775704323717
3.6,255.08220983831364
3.65,246.32699237713513
3.7,244.70391473006666
3.75,257.3158519296077
3.8,245.01800377075773
3.85,228.580682071424
3.9,231.8675291281142
3.95,232.90910230188294
4.0,259.05660413941143
4.05,257.3291644141391
4.1,264.0188009299945
4.15,266.16554535702636
4.2,267.4828281256318
4.25,268.1665935486876
4.3,266.6191047024372
4.35,262.37832396889405
4.4,261.3646259619593
4.45,259.4499552385507
4.5,218.9252677400147
4.55,220.85067017057642
4.6,225.88982414728605
4.65,226.0643344336404
4.7,222.78278451388672
4.75,221.7224240939717
4.8,211.80497566953636
4.85,235.41273372070896
4.9,244.4291463191883
4.95,248.75980460320068
5.0,222.6792008347274
5.05,222.68877774741074
5.1,225.56572897097303
5.15,226.01317829962565
5.2,215.09470465818472
5.25,221.686721783596
5.3,223.8573185241197
5.35,236.3036351853875
5.4,237.84413465594335
5.45,225.80189481320494
5.5,226.4743282533568
5.55,236.98550938371457
5.6,248.83371259518916
5.65,252.97777447484634
5.7,252.78457363637145
5.75,252.74709981083873
5.8,254.2726753564117
5.85,265.436871307827
5.9,275.80885600612635
5.95,270.03491350315153
6.0,249.56755905144522
6.05,232.77012675809786
6.1,246.0459874995881
6.15,246.2545713523957
6.2,218.54998743817563
6.25,218.99431377784757
6.3,217.24405040631848
6.35,216.7602120026471
6.4,216.542733075952
6.45,216.44358347189333
6.5,216.8336580392623
6.55,216.57946710767604
6.6,216.5025320884622
6.65,197.53927486394144
6.7,197.7492035513933
6.75,198.10968183935552
6.8,198.87539627643116
6.85,208.47712739517058
6.9,220.76994762382873
6.95,228.17579458962297
7.0,228.72528376292905
7.05,228.5807210561221
7.1,228.69302490254157
7.15,229.52264238805566
7.2,229.7378287856903
7.25,229.21607825077277
7.3,229.3056194516988
7.35,230.58484627110093
7.4,231.37830368558758
7.45,233.83070874801888
7.5,235.66145469577177
7.55,236.27328500430784
7.6,192.12827105201941
7.65,192.22799021758246
7.7,193.21436041424877
7.75,193.1977930078285
7.8,193.59543193247063
7.85,211.51771729953776
7.9,211.77448832594573
7.95,212.28495307296345
8.0,212.84302222057514
8.05,211.2807252254229
8.1,211.9339848150571
8.15,216.36558763967568
8.2,213.13425070577955
8.25,223.32707142911892
8.3,223.74542116262248
8.35,224.11114046689903
8.4,222.8213628519147
8.45,226.02295508251498
8.5,231.6474278941104
8.55,234.6775046535053
8.6,233.61556087995373
8.65,230.0028268536941
8.7,227.18178977364846
8.75,226.60342658743292
8.8,230.9208231926853
8.85,236.81784566642918
8.9,237.26757250880883
8.95,237.58542822677066
9.0,237.8872104754067
9.05,201.27124356117733
9.1,201.3934326376068
9.15,202.17491992436885
9.2,206.16389452118878
9.25,211.07135462641892
9.3,213.7963113712457
9.35,212.60200691426144
9.4,208.17471534953182
9.45,205.6171723901385
9.5,206.77729238977497
9.55,210.73271518344453
9.6,215.65841985856312
9.65,221.27373958343662
9.7,226.19011025839225
9.75,228.1992173321128
9.8,227.0705930506348
9.85,224.78052716769201
9.9,222.4275060370162
9.95,223.18327132517751
10.0,223.24229889603075
10.05,223.38764978135882
10.1,266.8201035416864
10.15,263.1241130809185
10.2,264.72202936000565
10.25,270.59514529183576
10.3,273.76629360209097
10.35,251.86306835254067
10.4,251.98730527971216
10.45,253.09798174586274
10.5,258.50066638538857
10.55,261.765290505899
10.6,257.8016353159729
10.65,257.6638552631743
10.7,257.6347969048604
10.75,257.1854902212653
10.8,191.77423449212367
10.85,191.8588328772315
10.9,202.88358013016665
10.95,203.01683697843742
11.0,203.162541460761
11.05,256.2027843285766
11.1,258.5019102892667
11.15,261.0773900369334
11.2,263.1184427929052
11.25,266.47173332375814
11.3,268.9051862672697
11.35,276.70477001751385
11.4,280.4504510065357
11.45,227.3024059443866
11.5,227.40057864184536
11.55,248.15678928204346
11.6,248.4691584456066
11.65,248.84709406848037
11.7,238.99525981851608
11.75,249.7548941010467
11.8,256.8856009103347
11.85,276.7319755239125
11.9,291.42228813923117
11.95,300.6897179332286
12.0,302.45099732139556
12.05,296.4246425149622
12.1,287.055334312418
12.15,290.5628090667158
12.2,270.91427108105813
12.25,273.39697641513374
12.3,312.13905850047047
12.35,312.29384342539726
12.4,314.63649103629996
12.45,306.86692115096315
12.5,298.7243239296759
12.55,296.23199649785806
12.6,296.96047320265274
12.65,294.93447418658417
12.7,292.9107304108188
12.75,277.720550177314
12.8,287.3469828816882
12.85,286.7790555899758
12.9,288.9231336280758
12.95,289.62988396172926
13.0,290.5990258461681
13.05,256.4708019892206
13.1,256.7594987814941
13.15,258.7788497873464
13.2,262.3035588866752
13.25,263.76494771264845
13.3,258.37485922205167
13.35,255.4770210877932
13.4,254.47073556659896
13.45,254.02340582630546
13.5,254.07202279030375
13.55,254.15623479247816
13.6,230.4146257862453
13.65,229.86189459710266
13.7,230.3326824037396
13.75,230.43446549939887
13.8,240.07230011527918
13.85,240.73735990006884
13.9,292.3036043998978
13.95,294.91963539930606
14.0,296.7876032027402
14.05,296.7808504000553
14.1,295.8824517051336
14.15,293.16459998932794
14.2,285.87033909258463
14.25,229.69308870574102
14.3,229.1735488398541
14.35,229.00754529459334
14.4,233.7329965383415
14.45,233.7248534758498
14.5,254.23322868106547
14.55,254.8181458872624
14.6,255.1936761431538
14.65,253.18435288998896
14.7,250.4002921622457
14.75,249.57362815897795
14.8,249.48597260167207
14.85,249.43702551956446
14.9,247.99738938831734
14.95,246.68150841335049
15.0,244.96935925780502
15.05,243.5554991228476
15.1,242.41038326971284
15.15,242.83000695933794
15.2,243.54021651854606
15.25,243.47401739879058
15.3,241.87070193830607
15.35,239.04861963529302
15.4,235.19481185689716
15.45,231.4009649030598
15.5,226.83110083533273
15.55,222.98276484632947
15.6,222.9340711571367
15.65,228.7412410331012
15.7,235.538185616057
15.75,239.6048433736883
15.8,239.41982536122822
15.85,237.33322271091032
15.9,236.60238089718314
15.95,238.68912448124868
16.0,241.9572608714061
16.05,243.56294125222774
16.1,244.03265600745593
16.15,244.29653884486765
16.2,243.732937792445
16.25,206.97398718881732
16.3,206.16452806099022
16.35,205.58264693762263
16.4,205.24578452965903
16.45,206.97875175948545
16.5,209.98407841492983
16.55,211.76409054945046
16.6,210.81581072366004
16.65,207.9916017224523
16.7,206.04343626808716
16.75,208.49719997501884
16.8,214.78211972337945
16.85,222.0545026694783
16.9,227.95503636484077
16.95,232.7736124527453
17.0,236.60076295707714
17.05,238.92277683868704
17.1,239.02495849950827
17.15,237.17752679084896
17.2,235.56383516891816
17.25,236.19369978923302
17.3,238.74764831206986
17.35,241.21093071525647
17.4,241.57621462139224
17.45,241.8651705598618
17.5,241.79336592796412
17.55,241.50337977910834
17.6,240.90889237833346
17.65,207.61001869748625
17.7,207.48597274419095
17.75,207.03481887346288
17.8,217.19235469749276
17.85,218.56845059437813
17.9,261.134658888087
17.95,262.04545515968454
18.0,254.04185737151943
18.05,256.56562752607715
18.1,257.72221999016375
18.15,257.41779028082607
18.2,257.9718604005574
18.25,202.6885947047509
18.3,202.19329212145274
18.35,207.36700717486733
18.4,206.69528613814745
18.45,224.83448582622324
18.5,260.52730593952936
18.55,279.6229618688934
18.6,283.37897164334294
18.65,282.54825418807764
18.7,279.89489266552795
18.75,223.79667047243055
18.8,223.72609624572405
18.85,224.29625710319334
18.9,223.53360293060604
18.95,250.29928053389838
19.0,249.94360339505016
19.05,252.03462993258154
19.1,250.76611846228957
19.15,250.23833389159262
19.2,231.12803550708097
19.25,230.97199720020777
19.3,233.61300063309722
19.35,237.04290211231745
19.4,237.79097257249643
19.45,236.02910556891743
19.5,233.2144517075772
19.55,231.15844047311109
19.6,229.457184863867
19.65,228.29361295701128
19.7,229.92090701297883
19.75,230.41324202285497
19.8,231.38969645537955
19.85,304.25917555649573
19.9,305.90719689828296
19.95,307.63454353404404
20.0,309.8746324777122
20.05,309.9581288726512
20.1,307.34451878219494
20.15,303.9822837512787
20.2,302.6947365133474
20.25,304.1785536598922
20.3,306.35521986273284
20.35,306.4365609714598
20.4,304.81972847818724
20.45,231.5566907805445
20.5,231.1724885519299
20.55,245.54607617396897
20.6,246.20591218435297
20.65,246.66281078989599
20.7,242.52650794917832
20.75,266.3801943399645
20.8,269.44118290063057
20.85,272.0020945527942
20.9,292.9088645043787
20.95,296.61949562446364
21.0,273.80821268803936
21.05,244.5757392945412
21.1,213.5341527198616
21.15,212.27317460528684
21.2,234.0940043628972
21.25,258.90311524084734
21.3,272.1271048170859
21.35,271.18326427244057
21.4,269.84552964918805
21.45,267.64266369211657
21.5,237.57344111894847
21.55,237.03481674176635
21.6,237.35975588973653
21.65,237.00481070528988
21.7,237.07816314863825
21.75,236.54043015662603
21.8,235.99677241497005
21.85,234.77423970429325
21.9,233.34772554922955
21.95,239.4543770472471
22.0,240.03051874067359
22.05,241.12070916031038
22.1,289.5218904606721
22.15,319.4293223288292
22.2,323.7691413909325
22.25,326.7667666706886
22.3,326.219996329371
22.35,325.76188989232014
22.4,331.1074410242699
22.45,306.12312753411373
22.5,303.5219998190384
22.55,307.6079009502049
22.6,305.25700148369936
22.65,279.06335689452874
22.7,277.5196490183456
22.75,302.6523349793741
22.8,308.1674172813919
