"citation_ID","citation_url","citation_doi","citation_text","citation_comment"
"1",,,"Yong, A., A. Martin, K. Stokoe, and J. Diehl (2013). ARRA-funded VS30 measurements using multi-technique approach at strong-motion stations in California and central-eastern United States, USGS Open-File Reptort 2013-1102, 65 p.",NULL
"2",,,"Wilson, R.C., R.E. Warrick, and M.J. Bennett (1978). Seismic velocities of San Francisco bayshore sediments, Proc. ASCE Geotechnical Engineering Specialty Conference on Earthquake Engineering and Soil Dynamics, Pasadena, CA June 19-21, 1978, II, 1007-1023.",NULL
"3",,,"William Lettis & Associates, Inc (2003). Seismic Hazard Evaluation Report for El Portal Elementary School 2600 Moraga Road, San Pablo, Califonia",NULL
"4",,,"Wallace-Kuhi & ASSOCIATES (2016). Supplemental Geotechnical Engineering and Engineering Analysis WILLIS JEPSON MIDDLE SCHOOL - Classroom F 580 Elder Street Vacaville, California",NULL
"5",,,"Wallace-Kuhi & ASSOCIATES (2015). Geotechnical Engineering and Geologic Hazards Investigation UNIVERSITY RETIREMENT COMMUNITY AT DAVIS SKILLED NURSING FACILITY EXPANSION STUDY 1515 Shasta Drive Davis, California WKA No. 10359.01 January 22, 2015",NULL
"6",,,"Velocity profiles from Agbabian Associates (1993): Borehole geophysical measurements at 24 soil and rock sites, Report No. 9225-6427. Coordinates from Boore (2003).",NULL
"7",,,"Velocity profiles from Agbabian Associates (1993): Borehole geophysical measurements at 24 soil and rock sites, Report No. 9225-6427. Coordinates approximated from Google Maps.",NULL
"8",,,"Velocity profiles from Agbabian Associates (1993): Borehole geophysical measurements at 24 soil and rock sites, Report No. 9225-6427. Boring log from USGS OFR 93-502 (Powers, T.J. and T.E. Fumal (1993). Geologic Logs From 25 Boreholes Near Strong Motion Accelerographs that Recorded the 1989 Loma Prieta, California, Earthquake, U.S. Geological Survey Open-File Report 93-502, 177 pp.). Coordinates from Boore (2003).",NULL
"9",,,"Velocity profiles from Agbabian Associates (1993): Borehole geophysical measurements at 24 soil and rock sites, Report No. 9225-6427. Boring log from USGS OFR 93-502 (Powers, T.J. and T.E. Fumal (1993). Geologic Logs From 25 Boreholes Near Strong Motion Accelerographs that Recorded the 1989 Loma Prieta, California, Earthquake, U.S. Geological Survey Open-File Report 93-502, 177 pp.). Coordinates approximated from site plan in USGS OFR 93-502 via Google Maps.",NULL
"10",,,"Velocity profiles from Agbabian Associates (1993): Borehole geophysical measurements at 24 soil and rock sites, Report No. 9225-6427. Boring log from Stewart, J.P. and Stewart, A.F. (1997). Analysis of soil-structure interaction effects on building response from earthquake strong motion recordings at 58 sites, Rpt. No. UCB/EERC-97/01, Earthquake Engineering Research Center, University of California, Berkeley, February, 742 pgs.",NULL
"11",,,"Velocity profiles from Agbabian Associates (1993): Borehole geophysical measurements at 24 soil and rock sites, Report No. 9225-6427.",NULL
"12",,,"Velocity profiles and Coordinates from Agbabian Associates (1993): Borehole geophysical measurements at 24 soil and rock sites, Report No. 9225-6427.",NULL
"13",,,"VAN BEVEREN & BUTELO (2009). Phase 1 Report Seismic Retrofit of Three Existing Buildings Sharp Memorial Hospital San Diego, California for Sharp Healthcare Van Beveren & Butelo Project 51-1-09001-011",NULL
"14",,,"USGS: OFR 93-376 and 93-502 (Powers, T.J. and T.E. Fumal (1993). Geologic Logs From 25 Boreholes Near Strong Motion Accelerographs that Recorded the 1989 Loma Prieta, California, Earthquake, U.S. Geological Survey Open-File Report 93-502, 177 pp.). Coordinates from Boore (2003).",NULL
"15",,,"USGS: OFR 92-287 and 93-502 (Powers, T.J. and T.E. Fumal (1993). Geologic Logs From 25 Boreholes Near Strong Motion Accelerographs that Recorded the 1989 Loma Prieta, California, Earthquake, U.S. Geological Survey Open-File Report 93-502, 177 pp.). Coordinates from Boore (2003).",NULL
"16",,,"URS (2008). Report Geotechnical Investigation Seismic Retrofit of Building 2-2A Scripps Mercy Hospital, Chula Vista 435 H Street Chula Vista, California (URS Job No. 29403959)",NULL
"17",,,"URS (2006). Geotechnical Investigation Report Proposed New Pedestrian Bridge for Children's Hospital of San Diego 3020 Children's Way, San Diego, California",NULL
"18",,,"URS CORPORATION (2006). Report on Seismic Ground-Motion Hazard Analysis Palomar Medical Center West Escondido, California For Palomar Pomerado Health System (September 15, 2005-Revised March 2006)",NULL
"19",,,"TWINING LABORATORIES. INC. (2007). Revised Geotechnical Engineering Investigation Report Proposed Utility Plant and Cooling Tower Yard Madera Community Hospital Madera, California",NULL
"20",,,"Treadwell & Rollo. (2005). Revised Report Geologic Hazard Evaluation and Geotechnical Investigation Mills-Peninsula Replacement Hospital San Mateo County Burlingame, California",NULL
"21",,,"Treadwell & Rollo. (2005). Response to CGS Review Comments Geologic Hazard Evaluation and Geotechnical Investigation John Muir Medical Center Expansion Contra Costa County Walnut Creek, California OSHPD Nos. HS-032223-07 and HS-040259-07",NULL
"22",,,"Treadwell & Rollo. (2004). Geotechnical Investigation and Geologic Hazard Evaluation Report Cathedral Hill Hospital California Pacific Medical Center San Francisco, California",NULL
"23",,,"Treadwell & Rollo. (2003). Geotechnical and Earthquake Engineering Study Moffitt Hospital/Medical Sciences Building University of California at SanFrancisco - Parnassus Campus San Francisco, California",NULL
"24",,,"TRC. (2015). Response to CGS Comments Cedar Grove Elementary School Improvements 2702 Sugarplum Drive San jose, Santa Clara County, California",NULL
"25",,,"TRC Lowney. (2008). Site Specific Ground Motion Analysis Revosed Quimby Oak MS Addition of (8) New Classrooms-Increment 1 DSA File No. 43-15 DSA Application NO: 01-109535 3190 Quimby Road San Jose, California",NULL
"26",,,"Thompson, E.M., Kayen, R.E., Carkin, B., and Tanaka, H. (2010). Surface-wave site characterization at 52 strong-motion recording stations affected by the Parkfield, California, M6.0 earthquake of 28 September 2004. U.S. Geological Survey Open-File Report 2010-1168, 117 p. [http://pubs.usgs.gov/of/2010/1168/]",NULL
"27",,,"Terracon. (2016). Response to California Geological Survey Comments Engineering Geology and Seismology Review Letter Santa Ana College, New Three Story Science Center Building 1530 West 17th Street Santa Ana, California Terracon Project No. 60145101",NULL
"28",,,"Suspention Log data from GEOVision, Inc., presented in: Agbabian Associates (1997): Suspension Velocity Measurements at the University of California San Diego Medical Center Borehole CLC-1, Prepared for Institue of Geophysics and Planetary Physics, Scripps Institute of Oceanography, UCSD; Agbabian Associates Report No. 9729-6641, July 1, 1997. Location and SCPT data presented in: Minster et al. (1997): Initial Source and Site Characterization Studies for the U.C. San Diego Campus, Report No. UCRL-ID-134785. Part of the University of California Campus Earthquake Program (UC-CEP), described in Heuze et al. (2004), Estimating site-specific strong earthquake motions, Soil Dynamics & Earthquake Engineering 24, 199-223.",NULL
"29",,,"Stewart, JP, PM Smith, DH Whang, and JD Bray (2004). Seismic compression of two compacted earth fills shaken by the 1994 Northridge earthquake, J. Geotech. & Geoenv. Engrg., ASCE, 130 (5), 461-476.",NULL
"30",,,"Stewart, JP and Sholtis, S (2005). Case Study of Strong Ground Motion Variations across Cut Slope, Soil Dynamics and Earthquake Engineering, 25(7-10), 539-545.",NULL
"31",,,"Stewart, J.P. and Stewart, A.F. (1997). Analysis of soil-structure interaction effects on building response from earthquake strong motion recordings at 58 sites, Rpt. No. UCB/EERC-97/01, Earthquake Engineering Research Center, University of California, Berkeley, February, 742 pgs.",NULL
"32",,,"Dames and Moore (1959). Borings for Site Foundation Investigation, Appendix VI to Final Hazards Summary Report, Humbolt Bay Power Plant, Unit No. 3.",NULL
"33",,,"Woodward Clyde Consultants, WCC (1980). Evaluation of the Potential for Resolving the Geologic and Seismic Issues at the Humboldt Bay Power Plant Unit No. 3, Appendices.",NULL
"34",,,"SOUTHWEST GEOPHYSICS, INC. (2011). Report of Geotechnical Investigation Proposed 5-Year Campus lmprovement Plan Los Angeles Trade Technical College Los Angeles, California",NULL
"35",,,"SIERRA GEOTECHNICAL SERVICES, INC. (2009). GEOLOGIC AND SEISMIC HAZARDS ASSESSMENT AND GEOTECHNICAL INVESTIGATION Lee Vining Elementary School Modernization Lee Vining, Mono County, Califomia",NULL
"36",,"10.7909/C3WD3xH1","SCEDC (2013): Southern California Earthquake Data Center. Caltech. Dataset.",NULL
"37",,,"RUTHERFORD & CHEKENE. (2007). Geologic Hazards Study Lucile Packard Children's Hospital Phase 2 Exoansion Project Palo Alto, California",NULL
"38",,,"ROSRINE Phase 5b",NULL
"39",,,"ROSRINE Phase 4a",NULL
"40",,,"ROSRINE Phase 2b",NULL
"41",,,"ROSRINE Phase 2a",NULL
"42",,,"ROSRINE Phase 1",NULL
"43",,,"ROLLO & RIDLEY, INC. (2016). Geotechnical Investigation and Geologic Hazard Evaluation New Skilled Nursing Facility and Parking Garage Masonic Homes of California Union City, California",NULL
"44",,,"RGH CONSULTANTS. (2010). Geologic and Seismic Hazards Report Update Ukiah Valley Medical Center 275 Hospital Drive Ukiah, California",NULL
"45",,,"Pradel, D., Smith, P.M., Stewart, J.P., and Raad, G. (2005). Case History of Landslide Movement during the Northridge Earthquake. Journal of Geotechnical and Geoenvironmental Engineering, 131(11), 1360-1369.",NULL
"46",,,"Porcella, R.L. (1984). Geotechnical investigations at strong-motion stations in the Imperial Valley, California, U.S. Geological Survey Open-File Report 84-562, 174 p. Data reprocessed by Boore, D.M. (2003). A Compendium of P- And S-Wave Velocities from Surface-To-Borehole Logging: Summary and Reanalysis of Previously Published Data and Analysis of Unpublished Data, U.S. Geological Survey Open-File Report 03 -191, 14 p.",NULL
"47",,,"Phase 1 Geotechnical Data Report: Reclamation District 17, Urban Levee Geotechnical Evaluations Program, CA DWR/URS, October 2008.",NULL
"48",,,"Phase 1 Geotechnical Data Report, Natomas East main Drainage Canal (NEMDC) East Study Area, Urban Levee Geotechnical Evaluations Program, March 2009",NULL
"49",,,"Phase 1 Geotechnical Data Report (P1GDR): Reclamation District 404 Study Area, Urban Levee Geotechnical Evaluations Program, August 2008.File name: RD404-Vs",NULL
"50",,,"Phase 1 Geotechnical Data Report (P1GDR): Natomas East Main Drainage Cannal (NEMDC) West Study Area, Urban Levee Geotechnical Evaluations Program, October 2008; File name: SCPT_NMDW_Vs",NULL
