travelTimeMeta_ID,site_ID,citation_ID,name,longitude,latitude,method,date,quality,VelocityDataType,vsz_value,vsz_unit,z_value,z_unit,depth_unit,traveltime_unit,DGWT,,
1,3228,80,AGR002,86.8453,46.43,SCPT,2004.9.8,,Vs,220.2491,m/s,9.55,m,m,m/s,#N/A,,old
2,3229,80,AGR003,86.8454,46.4249,SCPT,2004.9.8,,Vs,253.5885,m/s,13.25,m,m,m/s,#N/A,,old
3,3230,80,AGR005,-86.8262,46.4143,SCPT,2004.9.8,,Vs,238.2113,m/s,19.55,m,m,m/s,-,,old
4,3231,80,AGR006,-86.8305,46.4168,SCPT,2004.9.8,,Vs,223.0742,m/s,6.4,m,m,m/s,-,,old
5,3232,80,AGR007,-86.8721,46.4295,SCPT,2004.9.9,,Vs,227.9305,m/s,15.75,m,m,m/s,-,,old
6,3233,80,AGR008,-86.8634,46.4288,SCPT,2004.9.9,,Vs,200.1033,m/s,7.75,m,m,m/s,-,,old
7,3234,80,AGR009,-86.8531,46.4296,SCPT,2004.9.9,,Vs,211.8928,m/s,12.65,m,m,m/s,-,,old
8,3235,80,AGR010,-86.8396,46.4272,SCPT,2004.9.9,,Vs,249.4446,m/s,12.35,m,m,m/s,-,,old
9,3236,80,AGR011,-86.8339,46.4273,SCPT,2004.9.9,,Vs,231.807,m/s,12.2,m,m,m/s,-,,old
10,3237,80,AGR012,-86.8316,46.4308,SCPT,2004.9.9,,Vs,233.7249,m/s,9.55,m,m,m/s,-,,old
11,3238,80,AHY001,-91.4805,33.3304,SCPT,2004.11.29,,Vs,223.3405,m/s,19.75,m,m,m/s,#N/A,,old
12,3239,80,AHY002,-91.4829,33.3305,SCPT,2004.11.29,,Vs,189.4255,m/s,9.1,m,m,m/s,#N/A,,old
13,3240,80,AHY003,-91.4854,33.3305,SCPT,2004.11.29,,Vs,226.1812,m/s,20.25,m,m,m/s,#N/A,,old
14,3241,80,AHY004,-91.4863,33.3305,SCPT,2004.11.29,,Vs,222.3571,m/s,20.15,m,m,m/s,#N/A,,old
15,3242,80,ALC001,-122.253,37.7847,SCPT,2000.11.7,,Vs,130.9707,m/s,22.95,m,m,m/s,-,,old
16,3243,80,ALC002,-122.2463,37.7802,SCPT,2000.11.7,,Vs,175.7796,m/s,20.8,m,m,m/s,3.3,,old
17,3244,80,ALC003,-122.2491,37.7828,SCPT,2000.11.7,,Vs,160.9069,m/s,27.75,m,m,m/s,-,,old
18,3245,80,ALC004,-122.2478,37.7829,SCPT,2000.11.21,,Vs,165.2736,m/s,21.75,m,m,m/s,-,,old
