depth (m),qc (MPa),fs (MPa),u (MPa),qt (MPa)
1.6,1.26,0.00,0.111122803,1.278887805
1.7,1.49,0.00,0.088225314,1.504225059
1.8,1.70,0.01,0.087742681,1.708601369
1.9,2.14,0.01,0.087742681,2.152738651
2,3.18,0.02,0.087501365,3.196875139
2.1,3.95,0.01,0.084336671,3.966027717
2.2,4.41,0.02,0.08408846,4.41817165
2.3,4.10,0.02,0.083847144,4.116681342
2.4,2.80,0.02,0.079944711,2.816242709
2.5,2.52,0.01,0.079462078,2.533581026
2.6,2.59,0.01,0.079220761,2.606227062
2.7,2.74,0.01,0.076786912,2.753907745
2.8,2.83,0.01,0.076786912,2.837315156
2.9,2.94,0.02,0.076297384,2.952920432
3,2.89,0.02,0.075325224,2.899052958
3.1,2.48,0.00,0.075077012,2.492129286
3.2,3.42,0.01,0.075077012,3.431827247
3.3,3.73,0.01,0.074587484,3.743933106
3.4,3.82,0.02,0.074587484,3.832798866
3.5,4.18,0.01,0.074587484,4.193337216
3.6,5.84,0.03,0.074835696,5.853861826
3.7,8.43,0.09,0.075807857,8.442989008
3.8,7.31,0.19,0.083116299,7.321867767
3.9,7.18,0.15,0.081654611,7.189786281
4,4.24,0.07,0.080434239,4.256171284
4.1,4.31,0.03,0.079462078,4.320568049
4.2,4.60,0.02,0.073374007,4.61038377
4.3,3.92,0.02,0.072884479,3.934719888
4.4,4.62,0.03,0.072394952,4.634368562
4.5,5.19,0.06,0.072153635,5.199510941
4.6,3.56,0.09,0.072394952,3.574012349
4.7,3.81,0.09,0.071912319,3.824257947
4.8,2.32,0.07,0.071671002,2.330644954
4.9,2.06,0.06,0.100649667,2.076534116
5,3.70,0.07,0.103083516,3.710573627
5.1,3.58,0.12,0.104062572,3.592264725
5.2,2.27,0.08,0.100408351,2.289182029
5.3,2.67,0.09,0.067527253,2.677155269
5.4,3.15,0.13,0.066555092,3.158684849
5.5,3.53,0.13,0.066796409,3.543582567
5.6,3.61,0.16,0.067775464,3.619092953
5.7,3.75,0.09,0.069478469,3.756573226
5.8,3.09,0.10,0.076538701,3.106364979
5.9,2.83,0.09,0.076538701,2.839959219
6,2.78,0.10,0.080434239,2.789407433
6.1,3.49,0.12,0.081406399,3.497319244
