depth (m),qt (MPa),fs (MPa)
0.05,5.19,0.0572
0.1,26.94,0.1479
0.15,26.68,0.2247
0.2,22.55,0.2493
0.25,18.01,0.2168
0.3,17.25,0.1533
0.35,13.93,0.1172
0.4,8.02,0.0976
0.45,3.19,0.0867
0.5,2.32,0.0554
0.55,1.65,0.053
0.6,1.38,0.0302
0.65,1.32,0.0355
0.7,1.1,0.0304
0.75,1.14,0.0224
0.8,1.31,0.0223
0.85,1.46,0.0291
0.9,1.51,0.0371
0.95,1.66,0.0457
1,1.7,0.0577
1.05,1.72,0.0639
1.1,1.73,0.0608
1.15,1.67,0.0505
1.2,1.88,0.048
1.25,2.19,0.0506
1.3,2.29,0.0579
1.35,2.4,0.0692
1.4,2.52,0.0832
1.45,2.78,0.1014
1.5,2.75,0.1223
1.55,2.75,0.1514
1.6,2.87,0.1411
1.65,3.94,0.13
1.7,6.55,0.1014
1.75,5.2,0.1156
1.8,4.9,0.1192
1.85,2.96,0.1037
1.9,2.4,0.0736
1.95,2.11,0.0597
2,1.79,0.0581
2.05,1.52,0.0674
2.1,1.63,0.0719
2.15,1.57,0.0701
2.2,2.85,0.0678
2.25,2.53,0.0688
2.3,1.93,0.0526
2.35,1.23,0.0484
2.4,1.09,0.0433
2.45,0.79,0.0411
2.5,0.8,0.0294
2.55,0.79,0.0237
2.6,0.84,0.0281
2.65,0.87,0.0281
2.7,0.71,0.0088
2.75,0.81,0.0104
2.8,1.07,0.0236
2.85,1.23,0.0343
2.9,1.26,0.0442
2.95,1.14,0.0489
3,1.09,0.0665
3.05,1.29,0.0349
3.1,3.76,0.0268
3.15,3.19,0.0394
3.2,1.85,0.0441
3.25,1.44,0.0457
3.3,1.25,0.0359
3.35,1.16,0.0334
3.4,1.14,0.0336
3.45,1.11,0.0354
3.5,1.09,0.0314
3.55,1.06,0.026
3.6,1.13,0.0271
3.65,1.2,0.0299
3.7,1.19,0.034
3.75,1.25,0.0314
3.8,1.19,0.0301
3.85,1.23,0.0297
3.9,1.17,0.0312
3.95,1.31,0.0348
4,1.4,0.0437
4.05,1.5,0.0592
4.1,1.53,0.0629
4.15,1.55,0.0638
4.2,1.66,0.0617
4.25,1.66,0.0567
4.3,1.56,0.0507
4.35,1.44,0.0451
4.4,1.28,0.0384
4.45,1.28,0.0367
4.5,1.26,0.0408
4.55,1.15,0.0472
4.6,1.2,0.0545
4.65,1.58,0.0625
4.7,1.72,0.0645
4.75,1.62,0.0574
4.8,1.48,0.062
4.85,1.71,0.0742
4.9,1.9,0.1
4.95,2.3,0.1248
5,2.45,0.1515
5.05,1.96,0.1061
5.1,1.53,0.0639
5.15,1.18,0.0474
5.2,1.07,0.0443
5.25,1.02,0.0523
5.3,1.03,0.0527
5.35,0.96,0.0515
5.4,1.08,0.0538
5.45,1.16,0.0467
5.5,1.22,0.0424
5.55,1.14,0.0387
5.6,1.09,0.0415
5.65,1.13,0.0479
5.7,1.19,0.0512
5.75,1.05,0.0522
5.8,1.03,0.0455
5.85,0.95,0.016
5.9,0.97,0.0364
5.95,0.65,0.036
6,0.99,0.0358
6.05,1.04,0.0339
6.1,1.01,0.0337
6.15,1.07,0.0329
6.2,1.11,0.0336
6.25,1.18,0.0406
6.3,1.11,0.0444
6.35,1.24,0.0431
6.4,1.21,0.0417
6.45,1.15,0.0388
6.5,1.1,0.0387
6.55,1.01,0.0354
6.6,1.03,0.0322
6.65,1.15,0.0281
6.7,1.11,0.0232
6.75,1.11,0.0203
6.8,1.02,0.0201
6.85,1.08,0.0247
6.9,1.21,0.0228
6.95,1.36,0.0264
7,1.48,0.0291
7.05,1.37,0.0293
7.1,1.4,0.0228
7.15,1.27,0.021
7.2,1.15,0.0227
7.25,1.03,0.0257
7.3,1,0.0224
7.35,0.93,0.0228
7.4,0.93,0.0223
7.45,1.04,0.0222
7.5,1.13,0.0253
7.55,1.2,0.0267
7.6,1.26,0.0295
7.65,1.44,0.0295
7.7,1.56,0.0268
7.75,1.54,0.0259
7.8,1.51,0.0271
7.85,1.42,0.0225
7.9,1.42,0.0251
7.95,1.37,0.0074
8,1.29,0.0145
8.05,1.64,0.0223
8.1,1.54,0.0307
8.15,1.43,0.0292
8.2,1.48,0.0305
8.25,1.6,0.0375
8.3,1.55,0.0454
8.35,1.6,0.053
8.4,1.61,0.0517
8.45,1.57,0.0582
8.5,1.63,0.0561
8.55,1.59,0.0566
8.6,1.62,0.061
8.65,1.6,0.0711
8.7,1.94,0.0748
8.75,2.07,0.0849
8.8,2.39,0.1144
8.85,2.61,0.1398
8.9,2.74,0.1521
8.95,2.89,0.1541
9,2.96,0.151
9.05,3,0.154
9.1,3.05,0.1607
9.15,3.14,0.1634
9.2,3.14,0.1632
9.25,3.2,0.1611
9.3,3.16,0.1599
9.35,2.91,0.1617
9.4,2.92,0.2025
