travelTimeMeta_ID,Vsi,Qtn_TT,Ic_TT,fz_TT,ztop_TT,zbot_TT,Group,Group_ID
1,188.2256844,186.365843,1.724519407,0.227343652,1.75,3.75,Beach_Dune,1
1,259.6669423,340.2065854,1.568716767,0.417432252,3.75,5.75,Beach_Dune,1
1,256.4778472,485.4411722,1.542011761,0.639630053,5.75,7.75,Beach_Dune,1
1,270.0079665,471.1402504,1.582723173,0.863118642,7.75,9.55,Beach_Dune,1
2,214.5008491,266.3826016,1.600001137,0.24519888,1.75,3.75,Beach_Dune,1
2,280.5157944,307.2711987,1.695487763,0.43222625,3.75,5.75,Beach_Dune,1
2,291.3486117,600.4800615,1.647815498,0.662400637,5.75,7.75,Beach_Dune,1
2,300.1356243,551.2958022,1.649449257,0.912604882,7.75,9.75,Beach_Dune,1
2,277.4833296,403.1338118,1.69586192,1.156587064,9.75,11.75,Beach_Dune,1
2,256.8904078,327.2188351,1.629299025,1.362905011,11.75,13.25,Beach_Dune,1
3,246.1104513,273.8637708,1.597251037,0.244306332,1.75,3.75,Beach_Dune,1
3,224.4131374,274.3866108,1.571040218,0.443078514,3.75,5.75,Beach_Dune,1
3,236.6947857,273.9117327,1.703979707,0.642023416,5.75,7.75,Beach_Dune,1
3,224.8211717,289.221642,1.616530423,0.857485692,7.75,9.75,Beach_Dune,1
3,236.9954412,222.4525348,1.740713661,1.063770913,9.75,11.75,Beach_Dune,1
3,264.9086679,321.0600395,1.58916527,1.286116847,11.75,13.75,Beach_Dune,1
3,255.0700697,287.5748482,1.645543276,1.509363971,13.75,15.75,Beach_Dune,1
3,275.9787789,260.3067555,1.894270302,1.729658699,15.75,17.75,Beach_Dune,1
3,217.3995165,407.3674363,2.104108414,1.939508808,17.75,19.55,Beach_Dune,1
4,235.7996564,260.882367,1.621070925,0.238787718,1.75,3.75,Beach_Dune,1
4,257.3965817,471.3036462,1.59708871,0.440494647,3.75,5.75,Beach_Dune,1
4,298.3237363,684.5779757,1.676132342,0.598048916,5.75,6.4,Beach_Dune,1
5,169.7748793,219.0115781,1.939916311,0.221903549,1.75,3.75,Beach_Dune,1
5,235.5617293,386.5569434,1.874907459,0.396652886,3.75,5.75,Beach_Dune,1
5,280.1628136,529.3705376,1.643910228,0.631616809,5.75,7.75,Beach_Dune,1
