travelTimeMeta_ID,site_ID,Group,citation_ID,name,Geology (Holzer),search (Grant),Geology (Site Table),Geology (Mapping),longitude,latitude,method,date,quality,VelocityDataType,vsz_value,vsz_unit,z_value,z_unit,depth_unit,traveltime_unit,DGWT,Group
1,3228,Beach_Dune,80,AGR002,Beach Ridg,Michigan,"",#N/A,86.8453,46.43,SCPT,2004.9.8,,Vs,220.2491,m/s,9.55,m,m,m/s,#N/A,Beach_Dune
2,3229,Beach_Dune,80,AGR003,Beach Ridg,Michigan,"",#N/A,86.8454,46.4249,SCPT,2004.9.8,,Vs,253.5885,m/s,13.25,m,m,m/s,#N/A,Beach_Dune
3,3230,Beach_Dune,80,AGR005,Beach Ridg,Michigan,"",#N/A,-86.8262,46.4143,SCPT,2004.9.8,,Vs,238.2113,m/s,19.55,m,m,m/s,-,Beach_Dune
4,3231,Beach_Dune,80,AGR006,Beach Ridg,Michigan,"",#N/A,-86.8305,46.4168,SCPT,2004.9.8,,Vs,223.0742,m/s,6.4,m,m,m/s,-,Beach_Dune
5,3232,Beach_Dune,80,AGR007,Beach Ridg,Michigan,"",#N/A,-86.8721,46.4295,SCPT,2004.9.9,,Vs,227.9305,m/s,15.75,m,m,m/s,-,Beach_Dune
6,3233,Beach_Dune,80,AGR008,Beach Ridg,Michigan,"",#N/A,-86.8634,46.4288,SCPT,2004.9.9,,Vs,200.1033,m/s,7.75,m,m,m/s,-,Beach_Dune
7,3234,Beach_Dune,80,AGR009,Beach Ridg,Michigan,"",#N/A,-86.8531,46.4296,SCPT,2004.9.9,,Vs,211.8928,m/s,12.65,m,m,m/s,-,Beach_Dune
8,3235,Beach_Dune,80,AGR010,Beach Ridg,Michigan,"",#N/A,-86.8396,46.4272,SCPT,2004.9.9,,Vs,249.4446,m/s,12.35,m,m,m/s,-,Beach_Dune
9,3236,Beach_Dune,80,AGR011,Beach Ridg,Michigan,"",#N/A,-86.8339,46.4273,SCPT,2004.9.9,,Vs,231.807,m/s,12.2,m,m,m/s,-,Beach_Dune
10,3237,Beach_Dune,80,AGR012,Beach Ridg,Michigan,"",#N/A,-86.8316,46.4308,SCPT,2004.9.9,,Vs,233.7249,m/s,9.55,m,m,m/s,-,Beach_Dune
11,3238,Floodplain,80,AHY001,Hpb,Arkansas,"",Floodplain,-91.4805,33.3304,SCPT,2004.11.29,,Vs,223.3405,m/s,19.75,m,m,m/s,#N/A,Floodplain
12,3239,Floodplain,80,AHY002,Hpb,Arkansas,"",Floodplain,-91.4829,33.3305,SCPT,2004.11.29,,Vs,189.4255,m/s,9.1,m,m,m/s,#N/A,Floodplain
13,3240,Floodplain,80,AHY003,Hpb,Arkansas,"",Floodplain,-91.4854,33.3305,SCPT,2004.11.29,,Vs,226.1812,m/s,20.25,m,m,m/s,#N/A,Floodplain
14,3241,Floodplain,80,AHY004,Hpb,Arkansas,"",Floodplain,-91.4863,33.3305,SCPT,2004.11.29,,Vs,222.3571,m/s,20.15,m,m,m/s,#N/A,Floodplain
15,3242,California,80,ALC001,afem,California,"af/Qi",#N/A,-122.253,37.7847,SCPT,2000.11.7,,Vs,130.9707,m/s,22.95,m,m,m/s,-,af/Qi
16,3243,California,80,ALC002,afem,California,"af/Qi",#N/A,-122.2463,37.7802,SCPT,2000.11.7,,Vs,175.7796,m/s,20.8,m,m,m/s,3.3,af/Qi
17,3244,California,80,ALC003,afem,California,"af/Qi",#N/A,-122.2491,37.7828,SCPT,2000.11.7,,Vs,160.9069,m/s,27.75,m,m,m/s,-,af/Qi
18,3245,California,80,ALC004,afem,California,"af/Qi",#N/A,-122.2478,37.7829,SCPT,2000.11.21,,Vs,165.2736,m/s,21.75,m,m,m/s,-,af/Qi
19,3246,California,80,ALC005,afem,California,"af/Qi",#N/A,-122.2506,37.7816,SCPT,2000.11.15,,Vs,152.7543,m/s,28.95,m,m,m/s,-,af/Qi
20,3247,California,80,ALC006,afem,California,"af/Qi",#N/A,-122.2518,37.7831,SCPT,2000.11.21,,Vs,145.1735,m/s,19.25,m,m,m/s,-,af/Qi
21,3248,California,80,ALC007,afem,California,"af/Qi",#N/A,-122.2371,37.7478,SCPT,2000.12.7,,Vs,132.2717,m/s,20.6,m,m,m/s,0.5,af/Qi
22,3249,California,80,ALC008,afem,California,"af/Qi",#N/A,-122.2371,37.7506,SCPT,2000.12.7,,Vs,223.4554,m/s,30.2,m,m,m/s,1,af/Qi
23,3250,California,80,ALC009,afem,California,"af/Qi",#N/A,-122.279,37.785,SCPT,2000.12.8,,Vs,175.9965,m/s,36.25,m,m,m/s,-,af/Qi
24,3251,California,80,ALC010,afem,California,"af/Qi",#N/A,-122.2882,37.7851,SCPT,2000.12.8,,Vs,153.3812,m/s,33.75,m,m,m/s,-,af/Qi
25,3252,California,80,ALC011,afem,California,"af/Qi",#N/A,-122.2884,37.7881,SCPT,2000.12.8,,Vs,144.1806,m/s,31.75,m,m,m/s,-,af/Qi
