conePenetrationTestMeta_ID,site_ID,citation_ID,name,longitude,latitude,date,coneNo,tipArea_unit,tipArea_value,pushRate_unit,pushRate_value,notes,depth_unit,tipResistance_unit,sleeveFriction_unit,porePressure_unit
1,491,47,Seismic CPT,-121.2911,37.9112,20061214,F7.5CKES,,0,cm/s,0,,ft,psi,atm,psi
2,492,47,Seismic CPT,-121.3204,37.9162,20061213,F7.5CKES,,0,cm/s,0,,ft,psf,psf,psf
3,493,47,Seimic CPT,-121.3319,37.8808,20061213,F7.5CKES,,0,cm/s,0,,ft,psf,psf,psf
4,494,47,Seimic CPT,-121.3199,37.8559,20061219,F7.5CKES,,0,cm/s,0,,ft,psf,psf,psf
5,495,47,Seimic CPT,-121.3104,37.8292,20070201, F7.5CKE,,0,cm/s,0,,ft,psf,psf,psf
6,496,47,Seismic CPT,-121.3173,37.8136,20070130,F7.5CKES,,0,cm/s,0,,ft,psf,psf,psf
7,497,47,Seismic CPT,-121.3099,37.7968,20070131, F7.5CKE,,0,cm/s,0,,ft,psf,psf,psf
8,498,47,Seismic CPT,-121.2917,37.7729,20070131,F7.5CKES,,0,cm/s,0,,ft,psf,psf,psf
9,499,49,Seismic CPT,-121.3064,37.9192,20080126,F7.5CKES,,0,cm/s,0,,ft,psi,psi,psi
10,500,49,Seismic CPT,-121.3228,37.9232,20080126,F7.5CKES,,0,cm/s,0,,ft,psi,psi,psi
11,501,49,Seismic CPT,-121.3448,37.9416,20080125,F7.5CKEW,,0,cm/s,0,,ft,psi,psi,psi
12,556,51,CPT Sounding (Se,-121.6551,38.5153,20080320,,,0,cm/s,0,,ft,psf,psf,psi
13,557,51,CPT Sounding (Se,-121.6883,38.52,20080324,,,0,cm/s,0,,ft,psf,psf,psi
14,558,51,CPT Sounding (Se,-121.7289,38.5183,20080327,,,0,cm/s,0,,ft,psf,psf,psi
15,559,51,CPT Sounding (Se,-121.767,38.5189,20080328,,,0,cm/s,0,,ft,psf,psf,psi
16,560,51,CPT Sounding (Se,-121.7199,38.5898,20080305,,,0,cm/s,0,,ft,psf,psf,psi
17,561,51,CPT Sounding (Se,-121.6855,38.5895,20080307,,,0,cm/s,0,,ft,psf,psf,psi
18,562,51,CPT Sounding (Se,-121.6474,38.5872,20080311,,,0,cm/s,0,,ft,psf,psf,psi
19,563,51,CPT Sounding (Se,-121.6389,38.5672,20080312,,,0,cm/s,0,,ft,psf,psf,psi
20,564,51,CPT Sounding (Se,-121.6311,38.549,20080317,,,0,cm/s,0,,ft,psf,psf,psi
21,565,48,Sesimic,-121.4738,38.6573,20070919,F7.5CKEG,,0,cm/s,0,,ft,psf,,
22,566,48,Sesimic,-121.4669,38.6685,20070915,F7.5CKEG,,0,cm/s,0,,ft,psf,,
23,567,50,Seismic,-121.4741,38.6444,20070913,F7.5CKEG,,0,cm/s,0,,ft,psf,,
24,568,50,Seismic,-121.493,38.7437,20070912,F7.5CKEG,,0,cm/s,0,,ft,psf,,
25,569,50,Seismic,-121.5213,38.8136,20070911,F7.5CKEG,,0,cm/s,0,,ft,psf,,
26,570,50,Seismic,-121.4733,38.6404,20070914,F7.5CKEG,,0,cm/s,0,,ft,psf,,
27,571,52,CPT Sounding,-121.6533,38.629,20080415,,,0,cm/s,0,,ft,psf,psf,psi
28,572,52,CPT Sounding,-121.7055,38.6782,20080416,,,0,cm/s,0,,ft,psf,psf,psi
29,573,52,CPT Sounding,-121.7173,38.72,20080422,,,0,cm/s,0,,ft,psf,psf,psi
1251,1950,69,CPT-2,-118.3853,34.0042,10.8.2003,,,0,cm/s,0,,ft,psf,,
1252,1952,60,CPT-2,-118.5773,34.1862,11.19.2009,,,0,cm/s,0,,ft,psf,psf,
1253,1955,54,CPT-1,-118.1409,33.7765,1.2.2013,,,0,cm/s,0,,ft,psf,psf,psi
1254,1955,54,CPT-4,-118.1409,33.7755,1.2.2013,,,0,cm/s,0,,ft,psf,psf,psi
1255,1971,55,CPT-2,-118.0094,33.7522,12.29.2015,,,0,cm/s,0,,ft,psf,psf,psf
1256,1981,63,CPT-2,-117.9265,33.8947,3.8.2006,,,0,cm/s,0,,ft,psf,psf,
1257,1992,193,CPT-1,-118.5332,34.2205,11.17.2003,,cm^2,15,cm/s,0,,ft,psf,psf,psi
1258,3082,58,HBI-P6,-122.237107,37.723472,,,,NULL,cm/s,NULL,,,,MPa,MPa
1259,3082,58,DIKE,-122.257989,37.738624,,,,NULL,cm/s,NULL,,,,MPa,kPa
1260,3085,58,SFOBB-1,-122.319313,37.823194,,,,NULL,cm/s,NULL,,,MPa,,
1261,3124,58,POO-2,-122.338904,37.80523,,,,NULL,cm/s,NULL,,,MPa,MPa,
1262,3124,58,POO-1,-122.338904,37.80523,,,,NULL,cm/s,NULL,,,MPa,MPa,
1263,3124,58,POO-3,-122.339929,37.804202,,,,NULL,cm/s,NULL,,,MPa,MPa,
